NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
13869,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRSD",54.97,247,32.76,11.87,0.98,0,0,0,8,2.67,21,204,266,43,5.49,0.078,0.011,33.5,0,0.075,0.174,5.726,0.646,0.43,10,0,10,10,124.8,1.82,0,0,0,0,0,0,0,0,0.48,0.2,8,1.7,4.506,5.064,0.478,100,85,3 oz,281,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",5
13870,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",61.6,218,26.41,11.64,1.05,0,0,0,6,2.16,17,164,214,35,4.43,0.063,0.009,27,0,0.061,0.141,4.616,0.521,0.347,8,0,8,8,100.6,1.47,0,0,0,0,0,0,0,0,0.41,,,1.5,4.418,4.964,0.449,85,85,3 oz,338,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",2
13871,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",66.32,198,20.71,12.15,1.02,0,0,0,16,1.84,22,197,319,53,3.8,0.092,0.013,25,0,0.079,0.143,6.294,0.605,0.611,11,0,11,11,86.5,1.76,0,0,0,0,0,0,0,0,0.36,,,1.4,4.784,5.251,0.464,75,28.35,1 oz,453.6,1 lb,2
13872,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRSD",54.27,254,32.85,12.56,0.95,0,0,0,7,2.7,21,199,263,42,5.4,0.071,0.011,34.4,0,0.068,0.185,5.939,0.647,0.432,10,0,10,10,125.1,1.97,0,0,0,0,0,0,0,0,0.49,,,1.7,4.766,5.355,0.484,101,85,3 oz,227,"1 steak,  (yield from 341 g raw meat)",5
13873,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",61.09,223,26.05,12.44,1.01,0,0,0,6,2.15,17,159,210,34,4.31,0.057,0.009,27.4,0,0.054,0.146,4.71,0.513,0.342,8,0,8,8,99.2,1.56,0,0,0,0,0,0,0,0,0.41,,,1.5,4.721,5.304,0.479,86,85,3 oz,338,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",2
13874,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",67.44,187,20.68,10.93,0.99,0,0,0,23,1.63,22,201,335,60,3.85,0.089,0.013,24.7,0,0.084,0.11,6.071,0.586,0.615,11,0,11,11,86.4,1.23,0,0,0,0,0,0,0,0,0.35,,,1.4,4.303,4.723,0.417,72,85,3 oz,312,1 steak,3
13875,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRSD",55.67,240,32.67,11.19,1.01,0,0,0,8,2.64,22,208,269,43,5.58,0.085,0.012,32.6,0,0.082,0.164,5.512,0.645,0.429,10,0,10,10,124.4,1.67,0,0,0,0,0,0,0,0,0.47,,,1.7,4.247,4.772,0.431,98,85,3 oz,226,"1 steak,  (yield from raw steak weighing 340g)",3
13876,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",62.1,212,26.77,10.85,1.08,0,0,0,7,2.16,18,170,219,35,4.56,0.069,0.01,26.6,0,0.067,0.134,4.517,0.528,0.352,8,0,8,8,102,1.37,0,0,0,0,0,0,0,0,0.4,,,1.4,4.116,4.625,0.418,84,85,3 oz,338,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",2
13877,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,RAW",69.31,166,21.49,8.24,1.01,0,0,0,20,1.81,23,207,340,58,3.98,0.094,0.013,25.8,0,0.085,0.131,6.42,0.618,0.637,12,0,12,12,89.8,1.55,0,0,0,0,0,0,0,0,0.33,,,1.3,3.245,3.561,0.315,68,28.35,1 oz,453.6,1 lb,3
13878,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",61.97,208,28.31,9.65,1.1,0,0,0,7,2.29,18,174,227,37,4.7,0.067,0.01,28.7,0,0.065,0.151,4.947,0.558,0.372,9,0,9,9,107.8,1.57,0,0,0,0,0,0,0,0,0.41,0.2,6,1.4,3.664,4.117,0.392,84,85,3 oz,333,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",1
13879,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,CHOIC,RAW",68.57,173,21.68,8.91,1.03,0,0,0,16,1.92,23,206,334,55,3.97,0.096,0.013,26.1,0,0.083,0.149,6.59,0.633,0.64,12,0,12,12,90.6,1.84,0,0,0,0,0,0,0,0,0.33,,,1.3,3.509,3.851,0.34,70,28.35,1 oz,453.6,1 lb,1
13880,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",61.36,212,28.48,10.05,1.06,0,0,0,6,2.33,18,171,227,37,4.65,0.061,0.01,29.6,0,0.059,0.16,5.149,0.561,0.374,9,0,9,9,108.5,1.71,0,0,0,0,0,0,0,0,0.41,,,1.5,3.813,4.285,0.387,86,85,3 oz,333,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",1
13881,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,SEL,RAW",70.06,159,21.3,7.57,0.99,0,0,0,24,1.69,23,208,346,62,3.98,0.092,0.013,25.6,0,0.087,0.113,6.252,0.603,0.633,11,0,11,11,89,1.27,0,0,0,0,0,0,0,0,0.32,,,1.3,2.98,3.271,0.289,66,28.35,1 oz,453.6,1 lb,3
13882,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",62.58,204,28.13,9.26,1.13,0,0,0,7,2.24,18,177,228,37,4.74,0.072,0.01,27.7,0,0.071,0.141,4.747,0.555,0.369,9,0,9,9,107.1,1.44,0,0,0,0,0,0,0,0,0.4,,,1.4,3.515,3.949,0.357,83,85,3 oz,417,"1 roast,  (yield from 530 g raw meat)",9
13883,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,ALL GRDS,RAW",66.1,189,19.6,11.67,0.95,0,0,,5,2,22,193,329,58,4.41,0.076,0.013,19.6,0,0.11,0.18,3.16,0.33,0.41,7,0,7,7,81.9,3.01,0,,,,,,,,,,,,4.6,5,0.46,65,28.35,1 oz,453.6,1 lb,4
13884,"BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",61.56,219,27.45,11.34,1.13,0,0,0,6,2.81,26,230,367,63,6.67,0.119,0.016,26.8,0,0.09,0.26,3.59,0.45,0.38,8,0,8,8,104.5,2.8,0,0,0,0,0,0,0,0,0.17,0.2,7,1.5,4.24,4.68,0.44,82,85,3 oz,326,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",4
13885,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,CHOIC,RAW",65.43,199,19.48,12.83,0.94,0,0,0,5,1.99,21,192,326,58,4.37,0.076,0.013,19.6,0,0.11,0.18,3.14,0.33,0.41,7,0,7,7,81.4,3,0,0,,0,0,0,0,0,,,,,5.04,5.49,0.51,65,28.35,1 oz,453.6,1 lb,4
13886,"BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",60.92,228,27.27,12.34,1.12,0,0,0,6,2.79,25,229,365,63,6.62,0.119,0.016,26.8,0,0.09,0.25,3.57,0.44,0.38,8,0,8,8,103.9,2.79,0,0,0,0,0,0,0,0,0.18,0.2,8,1.5,4.63,5.11,0.48,82,85,3 oz,325,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",4
13887,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,SEL,RAW",66.86,178,19.74,10.39,0.96,0,0,0,5,2.02,22,195,332,58,4.45,0.077,0.013,19.6,0,0.11,0.18,3.18,0.33,0.41,7,0,7,7,82.5,3.03,0,0,,0,0,0,0,0,,,,,4.1,4.45,0.41,64,28.35,1 oz,453.6,1 lb,3
13888,"BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",62.31,210,27.63,10.24,1.14,0,0,0,6,2.83,26,232,370,64,6.73,0.12,0.016,26.9,0,0.09,0.26,3.61,0.45,0.38,8,0,8,8,105.2,2.81,0,0,0,0,0,0,0,0,0.14,0.2,7,1.4,3.81,4.22,0.4,82,85,3 oz,327,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",4
13889,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",71.12,152,20.07,7.94,0.99,0,0,0,12,2.5,19,199,336,81,7.53,0.093,0.01,22.2,0,0.08,0.245,3.793,0.869,0.414,3,0,3,3,70.4,4.29,11,3,3,0,0,0,0,0,0.16,0.1,4,1.5,3.462,4.207,0.43,68,85,3 oz,231,1 steak,15
13890,"BEEF,RND,TOP RND,LN,1/8"" FAT,CHOIC,CKD,PAN-FRIED",54.18,228,33.93,8.33,1.53,2.03,0,0,6,3.4,35,286,484,65,4.58,0.129,0.02,34.5,0,0.12,0.315,5.394,0.458,0.582,14,0,14,14,129.2,3.9,0,0,0,0,0,0,0,0,0.17,0.1,5,1.7,2.399,3.031,1.523,102,85,3 oz,283,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",1
13891,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",69.04,166,22.06,7.93,1.1,0,0,0,21,1.85,24,212,349,60,4.08,0.097,0.013,26.5,0,0.087,0.135,6.589,0.634,0.653,12,0,12,12,92.1,1.59,0,0,0,0,0,0,0,0,0.33,,,1.3,3.123,3.428,0.303,69,28.35,1 oz,453.6,1 lb,0
13892,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",54.68,238,34.34,10.13,1.66,0,0,0,5,3.16,24,215,319,45,4.34,0.118,0.017,32.5,0,0.07,0.24,3.65,0.36,0.27,9,0,9,9,130.8,2.62,0,0,0,0,0,0,0,0,0.17,0.2,7,1.7,3.78,4.15,0.42,90,85,3 oz,286,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",3
13893,"BEEF,RND,TOP RND STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",59.59,204,30.67,9,1.16,0,0,0,7,2.53,20,193,252,41,5.2,0.074,0.011,31.7,0,0.07,0.163,5.36,0.605,0.403,10,0,10,10,116.8,1.71,0,0,0,0,0,0,0,0,0.43,0.1,6,1.5,3.415,3.837,0.367,90,85,3 oz,326,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",1
13894,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",68.8,168,21.94,8.19,1.11,0,0,0,17,1.97,24,211,341,57,4.06,0.098,0.013,26.7,0,0.084,0.151,6.667,0.64,0.648,12,0,12,12,91.6,1.86,0,0,0,0,0,0,0,0,0.33,,,1.3,3.224,3.538,0.313,69,28.35,1 oz,453.6,1 lb,0
13895,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",53.83,250,34.09,11.61,1.65,0,0,0,5,3.14,24,214,317,45,4.31,0.118,0.017,32.5,0,0.07,0.24,3.63,0.35,0.27,9,0,9,9,129.8,2.61,0,0,,0,0,0,0,0,,,,,4.33,4.76,0.48,90,85,3 oz,289,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",2
13896,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRLD",58.46,224,30.7,10.27,1.18,0,0,0,7,2.54,20,187,248,40,5.09,0.067,0.011,32.4,0,0.064,0.173,5.55,0.604,0.403,10,0,10,10,116.9,1.84,0,0,0,0,0,0,0,0,0.44,,,1.6,3.898,4.379,0.396,92,85,3 oz,347,"1 steak,  (yield from raw steak weighing 492 g)",3
13897,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,PAN-FRIED",52.36,266,32.99,13.83,1.45,0,0,0,6,2.97,33,274,480,68,4.35,0.124,0.019,32,0,0.11,0.26,5.15,0.43,0.57,12,0,12,12,125.6,3.28,0,0,0,0,0,0,0,0,0.18,0.2,9,1.8,4.64,5.18,1.72,97,85,3 oz,283,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",1
13898,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",69.29,164,22.18,7.68,1.08,0,0,0,25,1.74,24,214,357,63,4.1,0.095,0.013,26.3,0,0.09,0.118,6.51,0.628,0.659,12,0,12,12,92.6,1.32,0,0,0,0,0,0,0,0,0.3,,,1.2,3.023,3.317,0.293,68,28.35,1 oz,453.6,1 lb,0
13899,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,SEL,CKD,BRSD",55.63,225,34.6,8.54,1.67,0,0,0,4,3.18,25,217,321,45,4.37,0.119,0.017,32.5,0,0.07,0.24,3.67,0.36,0.27,9,0,9,9,131.8,2.64,0,0,,0,0,0,0,0,,,,,3.2,3.51,0.35,90,85,3 oz,286,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",3
13900,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRLD",60.72,201,30.63,7.73,1.14,0,0,0,8,2.52,21,198,256,41,5.31,0.081,0.011,31,0,0.077,0.154,5.169,0.605,0.402,10,0,10,10,116.7,1.57,0,0,0,0,0,0,0,0,0.42,,,1.5,2.933,3.296,0.298,87,85,3 oz,359,"1 steak,  (yield from raw steak weighing 491g)",2
13901,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,PRIME,RAW",68.73,173,22.24,8.67,1.07,0,0,0,3,2.04,24,213,371,51,2.8,0.08,0.014,20.5,0,0.1,0.18,4.25,0.35,0.5,9,0,9,9,92.9,2.79,0,0,,0,0,0,0,0,,,,,3.3,3.59,0.38,59,28.35,1 oz,453.6,1 lb,1
13902,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,PRIME,CKD,BRLD",59.51,225,31.27,10.1,1.36,0,0,0,6,2.84,30,243,436,61,5.49,0.121,0.017,28,0,0.12,0.26,5.95,0.48,0.55,12,0,12,12,119.1,2.46,0,0,,0,0,0,0,0,,,,,3.61,4.01,0.46,84,85,3 oz,332,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",1
13903,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW",73.04,137,20.28,6.21,1.24,0,0,0,12,2.49,20,210,344,86,7.84,0.098,0.011,23.6,0,0.11,0.277,4.13,1.003,0.39,3,0,3,3,78,4.39,12,3,3,0,0,0,0,0,0.2,0.1,3,1.5,2.69,3.118,0.391,71,85,3 oz,252,1 steak,14
13904,"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",69.89,165,20.32,9.29,0.98,0,0,0,13,2,22,210,344,80,4.98,0.067,0.002,23.1,0,0.075,0.154,6.019,0.689,0.59,3,0,3,3,59.9,1.76,12,4,4,0,0,0,0,0,0.14,0.1,4,1.5,3.592,4.586,0.393,67,85,3 oz,1855,1 piece,1
13905,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,CHOIC,RAW",64.12,218,20.36,14.58,0.93,0,0,0,19,1.91,10,188,246,52,3.19,0.052,0.003,20.7,0,0.048,0.241,4.961,0.331,0.59,3,0,3,3,51.4,1.8,14,4,4,0,0,0,0,0,0.23,0.1,5,1.5,6.171,6.836,0.689,61,85,3 oz,539,1 steak,23
13906,"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,1/8"" FAT,CHOIC,CKD,GRILLD",54.76,284,24.85,19.78,0.95,0,0,0,19,2.95,20,207,255,63,4.09,0.064,0.003,25.7,0,0.054,0.234,5.67,,0.657,6,0,6,6,60.2,2.01,24,7,7,0,0,0,0,0,0.34,0.1,5,1.9,7.905,8.832,0.878,85,85,3 oz,417,1 steak,26
13907,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,CHOIC,RAW",63.43,228,20,15.83,0.91,0,0,0,21,1.64,10,174,229,35,3.31,0.053,0.002,19.8,0,0.047,0.195,5.164,,0.568,5,0,5,5,50.5,1.66,14,4,4,0,0,0,0,0,0.27,0.1,5,1.6,6.684,7.312,0.72,62,85,3 oz,461,1 steak,25
13908,"BEEF,SHRT LN,T-BONE STK,L & F,1/8"" FAT,CHOIC,CKD,GRILLED",53.91,294,24.21,21.13,0.94,0,0,0,19,3.24,17,194,240,63,4.02,0.069,0.003,26.3,0,0.053,0.234,5.618,,0.662,6,0,6,6,58.6,1.79,25,7,7,0,0,0,0,0,0.25,0.1,6,1.6,8.722,9.674,0.948,82,85,3 oz,360,1 steak,28
13909,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",63.43,228,20.61,15.49,0.9,0,0,0,24,1.47,21,186,313,52,3.53,0.069,0.011,22.8,0,0.064,0.1,6.077,0.593,0.562,11,,11,,86.1,1.06,0,0,0,0,0,0,0,0,0.39,,,1.5,6.251,6.633,0.589,81,85,3 oz,,,10
13910,"BEEF,LOIN,TOP LOIN,LN & FAT,1/8"" FAT,ALL GRDS,CKD,GRILLED",56.48,264,26.44,16.78,1.03,0,0,0,19,1.69,22,204,328,54,4.75,0.079,0.009,28.5,0,0.071,0.127,7.037,0.521,0.553,8,0,8,8,100.7,1.56,0,0,0,0,0,0,0,0,0.46,0.3,11,1.6,6.608,6.993,0.621,88,85,3 oz,213,1 steak,12
13911,"BEEF,LOIN,TOP LOIN,LN & FAT,1/8"" FAT,CHOIC,RAW",61.49,237,19.32,17.1,0.79,0,0,0,6,1.61,19,166,302,54,3.2,0.071,0.013,16.6,0,0.09,0.14,3.95,0.32,0.4,6,,6,,86.1,2.79,0,0,0,0,0,0,0,0,,,,1.5,6.91,7.41,0.61,82,85,3 oz,301,1 steak,10
13912,"BEEF,SHRT LOIN,TOP LN,STK,LN & FAT,1/8"" FAT,CHOIC,CKD,GRLLD",54.99,278,26.16,18.45,1.02,0,0,0,17,1.75,21,195,316,52,4.65,0.085,0.009,28.1,0,0.065,0.115,7.095,0.515,0.521,8,0,8,8,99.6,1.73,0,0,0,0,0,0,0,0,0.48,0.3,12,1.6,7.264,7.688,0.683,97,85,3 oz,221,"1 steak,  (yield from 270 g raw meat)",8
13913,"BEEF,LOIN,TOP LOIN,LN & FAT,1/8"" FAT,SEL,RAW",63.95,224,20.59,15.04,0.87,0,0,0,23,1.47,21,189,313,52,3.45,0.071,0.009,23.5,0,0.074,0.112,5.502,0.583,0.569,11,,11,,86,0.98,0,0,0,0,0,0,0,0,0.38,,,1.6,6.067,6.438,0.572,80,85,3 oz,,,9
13914,"BEEF,LOIN,TOP LOIN,LN & FAT,1/8"" FAT,SEL,CKD,GRILLED",57.96,250,26.72,15.11,1.04,0,0,0,22,1.63,23,213,340,57,4.85,0.073,0.009,28.8,0,0.078,0.14,6.978,0.527,0.585,8,,8,,101.8,1.38,0,0,0,0,0,0,0,0,0.45,,,1.6,5.951,6.298,0.56,79,85,3 oz,,,12
13915,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,1/8"" FAT,PRIME,RAW",58.42,281,19,22.17,0.77,0,0,0,6,1.58,18,163,295,53,3.14,0.069,0.012,17.3,0,0.09,0.14,3.88,0.32,0.39,6,0,6,6,79.4,2.75,0,0,,0,0,0,0,0,,,,,9.08,9.78,0.8,67,85,3 oz,227,"1 steak, excluding refuse (yield from 1 raw steak, with refuse, weighing 242 g)",6
13916,"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,PRIME,CKD,BRLD",51.34,310,25.92,22.12,1.06,0,0,0,9,2.26,24,197,354,64,4.65,0.098,0.015,23.7,0,0.08,0.18,4.77,0.33,0.38,7,0,7,7,98.7,1.94,0,0,,0,0,0,0,0,,,,,8.91,9.39,0.8,79,85,3 oz,167,"1 steak, excluding refuse (yield from 1 raw steak, with refuse, weighing 242 g)",8
13917,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",61.52,247,19.61,18.16,0.92,0,0,0,23,1.42,20,180,302,50,3.41,0.067,0.011,22,0,0.061,0.095,5.782,0.56,0.535,11,0,11,11,81.9,1.01,0,0,0,0,0,0,0,0,0.41,,,1.6,8.41,8.93,0.79,85,85,3 oz,164,1 steak,2
13918,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",56.04,267,26.46,17.12,1.06,0,0,0,19,1.69,22,205,329,54,4.76,0.079,0.009,28.6,0,0.072,0.128,7.041,0.522,0.554,8,0,8,8,100.8,1.56,0,0,0,0,0,0,0,0,0.47,0.3,11,1.7,6.743,7.136,0.654,97,85,3 oz,104,"1 steak, excluding refuse (yield from 1 raw steak, with refuse, weighing 154 g)",4
13919,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",48.37,324,23.9,24.6,1.18,0,0,0,9,3.11,22,203,331,57,4.03,0.123,0.014,22.9,0,0.09,0.26,3,0.25,0.25,8,0,8,8,91,2.46,0,0,,0,0,0,0,0,,,,,9.72,10.27,1,85,85,3 oz,330,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",2
13920,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",61.69,246,19.82,17.88,0.94,0,0,0,25,1.43,20,177,303,50,3.5,0.065,0.012,21.4,0,0.052,0.084,6.392,0.579,0.534,11,0,11,11,82.8,1.1,0,0,0,0,0,0,0,0,0.41,,,1.6,7.214,7.655,0.68,85,85,3 oz,177,1 steak,3
13921,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRLD",55.53,273,26.43,17.78,1.01,0,0,0,17,1.76,21,196,318,52,4.67,0.085,0.009,28.2,0,0.066,0.116,7.169,0.52,0.527,8,0,8,8,100.7,1.74,0,0,0,0,0,0,0,0,0.47,,,1.7,7.001,7.409,0.658,99,140,"1 steak,  (yield from 181 g raw meat)",85,3 oz,4
13922,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",47.99,331,23.9,25.39,1.18,0,0,0,9,3.11,26,236,407,65,4.03,0.123,0.016,22.8,0,0.15,0.27,3.88,0.4,0.48,8,0,8,8,91,3.37,0,0,,0,0,0,0,0,,,,,10.02,10.5,0.96,85,85,3 oz,329,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",2
13923,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",61.33,249,19.37,18.46,0.9,0,0,0,22,1.42,20,182,300,50,3.32,0.068,0.009,22.6,0,0.069,0.105,5.176,0.549,0.535,10,0,10,10,80.9,0.92,0,0,0,0,0,0,0,0,0.41,,,1.6,7.451,7.906,0.702,86,149,"1 steak,  (yield from 1 raw steak weighing149g)",28.35,1 oz,2
13924,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRLD",56.5,262,26.48,16.53,1.09,0,0,0,22,1.63,23,214,340,57,4.85,0.073,0.009,28.9,0,0.077,0.139,6.916,0.523,0.58,8,0,8,8,100.8,1.37,0,0,0,0,0,0,0,0,0.46,,,1.7,6.511,6.89,0.612,96,119,"1 steak,  (yield from 1 raw steak weighing 151g)",85,3 oz,4
13925,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",48.86,316,23.9,23.7,1.18,0,0,0,9,3.11,22,203,331,57,4.03,0.123,0.014,22.9,0,0.09,0.26,3,0.25,0.25,8,0,8,8,91,2.46,0,0,,0,0,0,0,0,,,,,9.38,9.92,0.96,85,85,3 oz,329,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",2
13926,"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,PRIME,RAW",59.52,274,18.15,21.83,0.88,0,0,0,7,2.35,20,181,304,49,3.05,0.093,0.012,17.1,0,0.12,0.21,2.99,0.3,0.38,6,0,6,6,75.8,2.6,0,0,,0,0,0,0,0,,,,,8.96,9.26,0.87,70,28.35,1 oz,453.6,1 lb,3
13927,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,PRIME,CKD,BRLD",51.84,308,25.26,22.21,1.16,0,0,0,8,3.15,26,210,368,59,4.88,0.156,0.015,24.4,0,0.11,0.26,3.52,0.34,0.39,6,0,6,6,96.2,2.41,0,0,,0,0,0,0,0,,,,,8.85,9.17,0.86,86,85,3 oz,106,"1 steak, excluding refuse (yield from 1 raw steak, with refuse, weighing 154 g)",3
13928,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,PRIME,CKD,RSTD",48.28,343,24.04,26.67,1.01,0,0,0,8,3.12,23,203,336,55,4.39,0.142,0.014,23.1,0,0.09,0.27,3.01,0.39,0.33,7,0,7,7,91.6,2.53,0,0,0,0,0,0,0,0,0.55,0.4,17,2,10.63,11.01,1.03,88,85,3 oz,326,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",3
13929,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",66.09,201,20.3,12.71,1.03,0,0,0,24,1.48,21,187,315,52,3.55,0.069,0.011,22.9,0,0.063,0.098,5.986,0.584,0.554,11,0,11,11,84.8,1.05,0,0,0,0,0,0,0,0,0.36,,,1.4,5.127,5.44,0.483,75,85,3 oz,608,1 steak,3
13930,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",58.36,243,26.96,14.23,1.11,0,0,0,20,1.73,22,209,336,56,4.87,0.081,0.009,29.2,0,0.073,0.13,7.176,0.531,0.564,8,0,8,8,102.7,1.59,0,0,0,0,0,0,0,0,0.44,0.2,9,1.6,5.603,5.93,0.547,92,85,3 oz,306,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",4
13931,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",64.87,214,19.92,14.28,0.97,0,0,0,25,1.46,20,181,309,51,3.57,0.066,0.013,21.8,0,0.053,0.084,6.425,0.582,0.536,11,0,11,11,83.2,1.11,0,0,0,0,0,0,0,0,0.37,,,1.5,5.763,6.115,0.543,78,28.35,1 oz,453.6,1 lb,3
